L 1512b8,4 hit 
S 1513c4,4 hit 
L 1512bc,4 hit 
S 1513c8,4 hit 
L 1512c0,4 hit 
S 1513cc,4 hit 
L 1512c4,4 hit 
S 1513d0,4 hit 
L 1512c8,4 hit 
S 1513d4,4 hit 
L 1512cc,4 hit 
S 1513d8,4 hit 
L 1512d0,4 hit 
S 1513dc,4 hit 
L 1512d4,4 hit 
S 1513e0,4 hit 
L 1511ac,4 hit 
S 1512b8,4 hit 
L 1511b0,4 hit 
S 1512bc,4 hit 
L 1511b4,4 hit 
S 1512c0,4 hit 
L 1511b8,4 hit 
S 1512c4,4 hit 
L 1511bc,4 hit 
S 1512c8,4 hit 
L 1511c0,4 miss eviction 
S 1512cc,4 hit 
L 1511c4,4 hit 
S 1512d0,4 hit 
L 1511c8,4 hit 
S 1512d4,4 hit 
L 1510a0,4 miss eviction 
S 1511ac,4 hit 
L 1510a4,4 hit 
S 1511b0,4 hit 
L 1510a8,4 hit 
S 1511b4,4 hit 
L 1510ac,4 hit 
S 1511b8,4 hit 
L 1510b0,4 hit 
S 1511bc,4 hit 
L 1510b4,4 hit 
S 1511c0,4 hit 
L 1510b8,4 hit 
S 1511c4,4 hit 
L 1510bc,4 hit 
S 1511c8,4 hit 
S 1510a0,4 hit 
S 1510a4,4 hit 
S 1510a8,4 hit 
S 1510ac,4 hit 
S 1510b0,4 hit 
S 1510b4,4 hit 
S 1510b8,4 hit 
S 1510bc,4 hit 
L 1510a4,4 hit 
L 1510a8,4 hit 
L 1510ac,4 hit 
L 1511b4,4 hit 
L 1511b8,4 hit 
L 1512c4,4 hit 
L 1511ac,4 hit 
S 1510a4,4 hit 
L 1512b8,4 hit 
S 1510a8,4 hit 
L 1513c4,4 hit 
S 1510ac,4 hit 
L 1512bc,4 hit 
S 1511b4,4 hit 
L 1513c8,4 hit 
S 1511b8,4 hit 
L 1513cc,4 hit 
S 1512c4,4 hit 
S 1511ac,4 hit 
S 1512b8,4 hit 
S 1513c4,4 hit 
S 1512bc,4 hit 
S 1513c8,4 hit 
S 1513cc,4 hit 
L 1510b4,4 hit 
L 1510b8,4 hit 
L 1510bc,4 hit 
L 1511c4,4 hit 
L 1511c8,4 hit 
L 1512d4,4 hit 
L 1511bc,4 hit 
S 1510b4,4 hit 
L 1512c8,4 hit 
S 1510b8,4 hit 
L 1513d4,4 hit 
S 1510bc,4 hit 
L 1512cc,4 hit 
S 1511c4,4 hit 
L 1513d8,4 hit 
S 1511c8,4 hit 
L 1513dc,4 hit 
S 1512d4,4 hit 
S 1511bc,4 hit 
S 1512c8,4 hit 
S 1513d4,4 hit 
S 1512cc,4 hit 
S 1513d8,4 hit 
S 1513dc,4 hit 
L 1110c0,4 miss eviction 
S 151900,4 miss 
L 1110c4,4 hit 
S 151904,4 hit 
L 1110c8,4 hit 
S 151908,4 hit 
L 1110cc,4 hit 
S 15190c,4 hit 
L 1110d0,4 hit 
L 1110d4,4 hit 
L 1110d8,4 hit 
L 1110dc,4 hit 
L 111490,4 hit 
S 151910,4 hit 
L 111494,4 hit 
S 151914,4 hit 
L 111498,4 hit 
S 151918,4 hit 
L 11149c,4 hit 
S 15191c,4 hit 
S 151d30,4 miss 
S 151d34,4 hit 
S 151d38,4 hit 
S 151d3c,4 hit 
L 1114a0,4 miss eviction 
S 151d40,4 miss 
L 1114a4,4 hit 
S 151d44,4 hit 
L 1114a8,4 hit 
S 151d48,4 hit 
L 1114ac,4 hit 
S 151d4c,4 hit 
L 1111b4,4 miss eviction 
S 151a0c,4 miss 
L 1111b8,4 hit 
S 151a10,4 hit 
L 1111bc,4 hit 
S 151a14,4 hit 
L 1111c0,4 miss eviction 
S 151a18,4 hit 
L 1111c4,4 hit 
L 1111c8,4 hit 
L 1111cc,4 hit 
L 1111d0,4 hit 
L 111584,4 hit 
S 151a1c,4 hit 
L 111588,4 hit 
S 151a20,4 miss 
L 11158c,4 hit 
S 151a24,4 hit 
L 111590,4 hit 
S 151a28,4 hit 
S 151e3c,4 miss eviction 
S 151e40,4 miss eviction 
S 151e44,4 hit 
S 151e48,4 hit 
L 111594,4 hit 
S 151e4c,4 hit 
L 111598,4 hit 
S 151e50,4 hit 
L 11159c,4 hit 
S 151e54,4 hit 
L 1115a0,4 miss eviction 
S 151e58,4 hit 
L 1112a8,4 miss eviction 
S 151b18,4 miss eviction 
L 1112ac,4 hit 
S 151b1c,4 hit 
L 1112b0,4 hit 
S 151b20,4 miss 
L 1112b4,4 hit 
S 151b24,4 hit 
L 1112b8,4 hit 
L 1112bc,4 hit 
L 1112c0,4 miss eviction 
L 1112c4,4 hit 
L 111678,4 hit 
S 151b28,4 hit 
L 11167c,4 hit 
S 151b2c,4 hit 
L 111680,4 miss eviction 
S 151b30,4 hit 
L 111684,4 hit 
S 151b34,4 hit 
S 151f48,4 miss eviction 
S 151f4c,4 hit 
S 151f50,4 hit 
S 151f54,4 hit 
L 111688,4 hit 
S 151f58,4 hit 
L 11168c,4 hit 
S 151f5c,4 hit 
L 111690,4 hit 
S 151f60,4 miss eviction 
L 111694,4 hit 
S 151f64,4 hit 
L 11139c,4 hit 
S 151c24,4 miss 
L 1113a0,4 miss 
S 151c28,4 hit 
L 1113a4,4 hit 
S 151c2c,4 hit 
L 1113a8,4 hit 
S 151c30,4 hit 
L 1113ac,4 hit 
L 1113b0,4 hit 
L 1113b4,4 hit 
L 1113b8,4 hit 
L 11176c,4 miss eviction 
S 151c34,4 hit 
L 111770,4 hit 
S 151c38,4 hit 
L 111774,4 hit 
S 151c3c,4 hit 
L 111778,4 hit 
S 151c40,4 miss 
S 152054,4 miss eviction 
S 152058,4 hit 
S 15205c,4 hit 
S 152060,4 miss eviction 
L 11177c,4 hit 
S 152064,4 hit 
L 111780,4 miss eviction 
S 152068,4 hit 
L 111784,4 hit 
S 15206c,4 hit 
L 111788,4 hit 
S 152070,4 hit 
L 151d34,4 hit 
L 151d38,4 hit 
L 151d3c,4 hit 
L 151e44,4 hit 
L 151e48,4 hit 
L 151f54,4 hit 
L 151e3c,4 hit 
S 151d34,4 hit 
L 151f48,4 hit 
S 151d38,4 hit 
L 152054,4 hit 
S 151d3c,4 hit 
L 151f4c,4 hit 
S 151e44,4 hit 
L 152058,4 hit 
S 151e48,4 hit 
L 15205c,4 hit 
S 151f54,4 hit 
S 151e3c,4 hit 
S 151f48,4 hit 
S 152054,4 hit 
S 151f4c,4 hit 
S 152058,4 hit 
S 15205c,4 hit 
L 151d44,4 hit 
L 151d48,4 hit 
L 151d4c,4 hit 
L 151e54,4 hit 
L 151e58,4 hit 
L 151f64,4 miss eviction 
L 151e4c,4 hit 
S 151d44,4 hit 
L 151f58,4 hit 
S 151d48,4 hit 
L 152064,4 hit 
S 151d4c,4 hit 
L 151f5c,4 hit 
S 151e54,4 hit 
L 152068,4 hit 
S 151e58,4 hit 
L 15206c,4 hit 
S 151f64,4 hit 
S 151e4c,4 hit 
S 151f58,4 hit 
S 152064,4 hit 
S 151f5c,4 hit 
S 152068,4 hit 
S 15206c,4 hit 
L 151904,4 hit 
L 151908,4 hit 
L 15190c,4 hit 
L 151a14,4 hit 
L 151a18,4 hit 
L 151b24,4 hit 
L 151a0c,4 hit 
S 151904,4 hit 
L 151b18,4 hit 
S 151908,4 hit 
L 151c24,4 hit 
S 15190c,4 hit 
L 151b1c,4 hit 
S 151a14,4 hit 
L 151c28,4 hit 
S 151a18,4 hit 
L 151c2c,4 hit 
S 151b24,4 hit 
S 151a0c,4 hit 
S 151b18,4 hit 
S 151c24,4 hit 
S 151b1c,4 hit 
S 151c28,4 hit 
S 151c2c,4 hit 
L 151914,4 hit 
L 151918,4 hit 
L 15191c,4 hit 
L 151a24,4 miss eviction 
L 151a28,4 hit 
L 151b34,4 hit 
L 151a1c,4 hit 
S 151914,4 hit 
L 151b28,4 hit 
S 151918,4 hit 
L 151c34,4 hit 
S 15191c,4 hit 
L 151b2c,4 hit 
S 151a24,4 hit 
L 151c38,4 hit 
S 151a28,4 hit 
L 151c3c,4 hit 
S 151b34,4 hit 
S 151a1c,4 hit 
S 151b28,4 hit 
S 151c34,4 hit 
S 151b2c,4 hit 
S 151c38,4 hit 
S 151c3c,4 hit 
L 1110e0,4 miss eviction 
S 152160,4 miss eviction 
L 1110e4,4 hit 
S 152164,4 hit 
L 1110e8,4 hit 
S 152168,4 hit 
L 1110ec,4 hit 
S 15216c,4 hit 
L 1110f0,4 hit 
L 1110f4,4 hit 
L 1110f8,4 hit 
L 1110fc,4 hit 
L 1114b0,4 hit 
S 152170,4 hit 
L 1114b4,4 hit 
S 152174,4 hit 
L 1114b8,4 hit 
S 152178,4 hit 
L 1114bc,4 hit 
S 15217c,4 hit 
S 152590,4 miss eviction 
S 152594,4 hit 
S 152598,4 hit 
S 15259c,4 hit 
L 1114c0,4 miss eviction 
S 1525a0,4 miss eviction 
L 1114c4,4 hit 
S 1525a4,4 hit 
L 1114c8,4 hit 
S 1525a8,4 hit 
L 1114cc,4 hit 
S 1525ac,4 hit 
L 1111d4,4 hit 
S 15226c,4 miss eviction 
L 1111d8,4 hit 
S 152270,4 hit 
L 1111dc,4 hit 
S 152274,4 hit 
L 1111e0,4 miss eviction 
S 152278,4 hit 
L 1111e4,4 hit 
L 1111e8,4 hit 
L 1111ec,4 hit 
L 1111f0,4 hit 
L 1115a4,4 miss eviction 
S 15227c,4 hit 
L 1115a8,4 hit 
S 152280,4 miss eviction 
L 1115ac,4 hit 
S 152284,4 hit 
L 1115b0,4 hit 
S 152288,4 hit 
S 15269c,4 miss eviction 
S 1526a0,4 miss eviction 
S 1526a4,4 hit 
S 1526a8,4 hit 
L 1115b4,4 hit 
S 1526ac,4 hit 
L 1115b8,4 hit 
S 1526b0,4 hit 
L 1115bc,4 hit 
S 1526b4,4 hit 
L 1115c0,4 miss eviction 
S 1526b8,4 hit 
L 1112c8,4 hit 
S 152378,4 miss eviction 
L 1112cc,4 hit 
S 15237c,4 hit 
L 1112d0,4 hit 
S 152380,4 miss eviction 
L 1112d4,4 hit 
S 152384,4 hit 
L 1112d8,4 hit 
L 1112dc,4 hit 
L 1112e0,4 miss eviction 
L 1112e4,4 hit 
L 111698,4 miss eviction 
S 152388,4 hit 
L 11169c,4 hit 
S 15238c,4 hit 
L 1116a0,4 miss eviction 
S 152390,4 hit 
L 1116a4,4 hit 
S 152394,4 hit 
S 1527a8,4 miss eviction 
S 1527ac,4 hit 
S 1527b0,4 hit 
S 1527b4,4 hit 
L 1116a8,4 hit 
S 1527b8,4 hit 
L 1116ac,4 hit 
S 1527bc,4 hit 
L 1116b0,4 hit 
S 1527c0,4 miss eviction 
L 1116b4,4 hit 
S 1527c4,4 hit 
L 1113bc,4 miss eviction 
S 152484,4 miss eviction 
L 1113c0,4 miss eviction 
S 152488,4 hit 
L 1113c4,4 hit 
S 15248c,4 hit 
L 1113c8,4 hit 
S 152490,4 hit 
L 1113cc,4 hit 
L 1113d0,4 hit 
L 1113d4,4 hit 
L 1113d8,4 hit 
L 11178c,4 miss eviction 
S 152494,4 hit 
L 111790,4 hit 
S 152498,4 hit 
L 111794,4 hit 
S 15249c,4 hit 
L 111798,4 hit 
S 1524a0,4 miss eviction 
S 1528b4,4 miss eviction 
S 1528b8,4 hit 
S 1528bc,4 hit 
S 1528c0,4 miss eviction 
L 11179c,4 hit 
S 1528c4,4 hit 
L 1117a0,4 miss eviction 
S 1528c8,4 hit 
L 1117a4,4 hit 
S 1528cc,4 hit 
L 1117a8,4 hit 
S 1528d0,4 hit 
L 152594,4 hit 
L 152598,4 hit 
L 15259c,4 hit 
L 1526a4,4 miss eviction 
L 1526a8,4 hit 
L 1527b4,4 miss eviction 
L 15269c,4 miss eviction 
S 152594,4 hit 
L 1527a8,4 hit 
S 152598,4 hit 
L 1528b4,4 hit 
S 15259c,4 hit 
L 1527ac,4 hit 
S 1526a4,4 hit 
L 1528b8,4 hit 
S 1526a8,4 hit 
L 1528bc,4 hit 
S 1527b4,4 hit 
S 15269c,4 hit 
S 1527a8,4 hit 
S 1528b4,4 hit 
S 1527ac,4 hit 
S 1528b8,4 hit 
S 1528bc,4 hit 
L 1525a4,4 miss eviction 
L 1525a8,4 hit 
L 1525ac,4 hit 
L 1526b4,4 hit 
L 1526b8,4 hit 
L 1527c4,4 miss eviction 
L 1526ac,4 hit 
S 1525a4,4 hit 
L 1527b8,4 hit 
S 1525a8,4 hit 
L 1528c4,4 hit 
S 1525ac,4 hit 
L 1527bc,4 hit 
S 1526b4,4 hit 
L 1528c8,4 hit 
S 1526b8,4 hit 
L 1528cc,4 hit 
S 1527c4,4 hit 
S 1526ac,4 hit 
S 1527b8,4 hit 
S 1528c4,4 hit 
S 1527bc,4 hit 
S 1528c8,4 hit 
S 1528cc,4 hit 
L 152164,4 hit 
L 152168,4 hit 
L 15216c,4 hit 
L 152274,4 hit 
L 152278,4 hit 
L 152384,4 miss eviction 
L 15226c,4 hit 
S 152164,4 hit 
L 152378,4 hit 
S 152168,4 hit 
L 152484,4 hit 
S 15216c,4 hit 
L 15237c,4 hit 
S 152274,4 hit 
L 152488,4 hit 
S 152278,4 hit 
L 15248c,4 hit 
